gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000162576.16,0.062169,0.019824,1.989322,10.143539,1.028419,4.426021
ENSG00000162585.16,0.02914,0.085222,17.977979,35.501189,17.860942,17.819721
ENSG00000162591.15,0.001883,0.00499,0.201096,3.69759,0.155056,1.01204
ENSG00000162600.11,0.126126,0.20240400000000003,14.384249,8.754423999999998,18.624743,19.504563
ENSG00000162601.9,0.098005,0.137509,13.218639000000001,5.894431000000001,13.901764999999997,15.733424000000001
ENSG00000162604.12,0.7567229999999999,1.3910310000000001,36.367508,10.487701999999999,36.452839000000004,35.148824000000005
ENSG00000162607.12,0.04724,0.064538,6.608822,4.813835,5.956716,6.861098
ENSG00000162613.16,0.541738,0.67807,44.464382,20.264293000000002,39.554647,41.73859999999999
ENSG00000162616.8,0.24867699999999998,0.29640199999999994,12.841501,8.862010999999999,13.760493,13.830989
ENSG00000162621.6,0.001867,0.003206,0.566868,0.055419,0.649401,0.406786
ENSG00000162623.15,0.14873799999999998,0.15710599999999997,8.236024,4.056308,7.468358,8.730043
ENSG00000162627.16,0.069544,0.125793,17.758682999999998,5.573392,15.711048,14.086907000000002
ENSG00000162630.5,0.004853,0.005739,1.617558,0.402138,1.804249,1.636571
ENSG00000162631.18,0.018018,0.077866,4.766006,1.6369960000000001,6.6923010000000005,4.225898
ENSG00000162636.15,0.021084,0.024850999999999998,1.872895,1.607781,1.212413,2.328485
ENSG00000162642.13,0.03304,0.039803,9.378038,9.160843999999999,11.733515,11.121503
ENSG00000162643.12,0.008755,0.032458,1.675757,0.844587,2.091582,3.918464
ENSG00000162645.12,0.026985000000000002,0.004895,0.265501,2.040814,0.033044,0.521299
ENSG00000162650.16,0.004632000000000001,0.009325,3.161155,3.2064320000000004,3.1099029999999996,2.207695
ENSG00000162654.8,0.019363,0.017009,0.341113,0.254662,0.145854,0.347141
ENSG00000162664.16,0.515169,0.703642,20.31079,6.910885999999999,13.744749,14.570609999999999
ENSG00000162669.15,0.004586,0.005142,1.28698,0.883481,2.242382,2.330592
ENSG00000162670.10,0.043759,0.057356000000000004,17.700087,6.043715000000001,16.914519000000002,16.624829
ENSG00000162687.16,0.081483,0.118916,14.747619,3.443476,9.870043,9.675438
ENSG00000162688.16,0.103894,0.19461599999999998,7.076814,2.165449,7.463636999999999,8.150172
ENSG00000162692.10,0.030903,0.10571000000000001,0.043028,0.858644,0.125725,4.881740000000001
ENSG00000162694.13,0.125464,0.280766,12.701408,4.1383719999999995,9.554435000000002,10.011011
ENSG00000162695.11,0.42289200000000005,0.551785,19.966874,3.8946199999999997,15.931891,17.112958
ENSG00000162702.7,0.053637,0.084814,8.71936,3.848878,7.404655,8.648369
ENSG00000162704.15,2.437762,3.936789,73.78896499999999,60.3962,79.806598,82.939711
ENSG00000162706.12,0.08124300000000001,0.111341,12.454359,7.054591,15.837933,11.557002
ENSG00000162714.12,0.006081,0.019132,4.669963,15.683921999999999,4.390486,7.424678
ENSG00000162729.13,0.041237,0.107301,6.127969,15.782997000000002,11.894072,12.315359
ENSG00000162733.16,4.69e-4,0.001751,0.728743,0.6861790000000001,0.339305,0.372574
ENSG00000162734.12,0.147829,0.22470800000000002,17.486736,11.355653,19.80548,20.164747
ENSG00000162735.18,0.202459,0.295423,26.622889999999995,46.437493,32.620534,28.617126000000006
ENSG00000162736.15,2.4774740000000004,4.814235,37.995236000000006,36.404183,36.672674,39.401526000000004
ENSG00000162738.5,0.012842,0.017428,4.5847999999999995,6.440365,3.989046,9.283622
ENSG00000162745.10,0.07541500000000001,0.062865,1.792991,3.317771,1.663973,2.537471
ENSG00000162746.14,0.007571,0.001109,0.932223,0.961537,1.02872,0.676099
ENSG00000162755.13,0.005079,0.038382,5.082699,3.4353399999999996,4.661785,7.587807
ENSG00000162757.4,0.006022,0.008264,1.702378,1.173177,1.823405,1.603685
ENSG00000162761.14,0.43442,0.823095,34.230626,34.383043,46.836883,45.073757
ENSG00000162769.12,0.406908,0.945815,24.722391000000002,5.062844999999999,23.636259,17.365077999999997
ENSG00000162772.16,0.098447,0.143001,39.099815,56.72180600000001,6.1327370000000005,11.298623999999998
ENSG00000162775.14,0.035614,0.057841,9.6910519999999991,8.660937,9.115661,8.948959
ENSG00000162777.16,0.01704,0.032956,11.953909,12.238083,13.019870000000001,16.782221999999997
ENSG00000162783.10,0.008808,0.009304,2.594159,10.687221,1.764036,3.853244
ENSG00000162804.13,0.15034,0.13895599999999997,12.058879000000001,13.006866,11.425396999999998,7.191102000000001
ENSG00000162813.17,0.404247,0.535374,15.750765000000001,13.075742,18.180436,16.657299
ENSG00000162814.10,0.021592,0.037989999999999996,1.80339,0.345515,2.7830429999999997,1.777411
ENSG00000162817.6,0.002011,0.003658,2.140673,4.432181,1.695959,2.415149
ENSG00000162819.11,0.133822,0.224688,13.534234,3.3370599999999997,14.019995999999999,15.106308
ENSG00000162825.16,0.013489,0.1785,11.90143,9.226493,7.216063999999999,7.833992
ENSG00000162836.11,0.130467,0.258528,8.497636,5.572452999999999,7.546875000000001,6.481188
ENSG00000162849.15,0.002286,0.007125,0.586191,1.389032,1.1229580000000001,1.985986
ENSG00000162851.7,0.096836,0.16533,5.527602,4.511985,6.744435,7.36183
ENSG00000162852.13,0.046215,0.073325,9.926966,6.596069,11.341221000000001,8.940036000000001
ENSG00000162869.15,0.121084,0.21739,27.591776,13.506025999999999,27.018894000000003,22.906986999999997
ENSG00000162878.12,0.029783000000000004,0.078315,28.7127,46.19062000000001,22.712801000000002,29.528728
ENSG00000162881.6,0,0,1.000148,1.924628,1.31926,2.063979
ENSG00000162882.14,0.06986200000000001,0.070298,5.527131000000001,11.327456,11.891177,13.266798
ENSG00000162885.12,0.027649,0.057971,11.060993999999999,8.175167,8.283686,11.816447
ENSG00000162889.10,0.029976000000000003,0.074236,34.589549,34.347009,40.770366,37.838775
ENSG00000162896.5,0.005961,0.004795,0.224065,2.247945,0.120908,1.092523
ENSG00000162909.17,1.00064,1.7111429999999999,83.096646,79.30165199999999,56.51987900000001,46.946677
ENSG00000162910.18,0.08949599999999999,0.228684,16.297646999999998,21.876495000000002,16.285550999999998,19.962755
ENSG00000162923.14,0.08982599999999999,0.172363,19.675209000000002,8.762357000000002,15.396446,18.219915
ENSG00000162924.13,0.028697,0.039503,3.9113800000000003,1.328011,2.8720869999999996,3.347142
ENSG00000162927.13,0.048472,0.036939,1.3701029999999998,1.073772,1.814895,2.393557
ENSG00000162928.8,0.09063700000000001,0.25992000000000004,7.763146,4.687312,7.3325309999999995,7.870359
ENSG00000162929.13,0.038128999999999996,0.073369,7.106900999999999,3.7134080000000003,6.5775630000000005,5.269041
ENSG00000162946.21,0.002682,0.002151,0.583516,0.825898,0.917986,0.9048599999999999
ENSG00000162949.16,0.02703,0.031705,3.0741009999999998,2.9708379999999996,3.400174,6.301763000000001
ENSG00000162951.10,0.060518,0.099598,11.984012,12.520561,13.719253,13.633947000000001
